,Number,Gender,NameSet,GivenName,Surname,StreetAddress,City,StateFull,ZipCode,CountryFull,EmailAddress,TelephoneNumber,Birthday,Age,Occupation,Company,Vehicle,BloodType,Kilograms,FeetInches,CrimeType,Area,Crime by Area
98,99,male,American,Raul,Johnson,1842 Davis Drive,Orillia,Ontario,L3V 1T4,Canada,RobertLJohnson@rhyta.com,705-330-6894,3/14/1978,44,Justice of the peace,Solution Answers,1997 Alfa Romeo Scighera,A+,112.0,"5' 11""",Theft from Vehicle,South Vancouver,13
99,100,male,American,Marilyn,Bazemore,799 McGill Road,Kamloops,British Columbia,V2C 5R8,Canada,JoseEBazemore@fleckens.hu,250-371-0850,4/17/1996,26,Mail superintendent,Destiny Planners,1995 De Tomaso Guara,A+,70.0,"5' 6""",Theft from Vehicle,Latchford,845
100,101,male,American,Randy,Lynch,932 Lynden Road,Victoria,Ontario,L0H 1E0,Canada,ElroyELynch@rhyta.com,905-838-1513,7/20/1983,39,Music instructor,Schweggmanns,2005 Toyota Aygo,B+,104.9,"5' 11""",Theft from Vehicle,The West End,726
101,102,female,American,Julianne,Toth,2192 rue des Églises Est,Malartic,Quebec,J0Y 1Z0,Canada,MaryEToth@armyspy.com,819-757-8823,5/21/1974,48,Television camera operator,Megatronic Plus,2010 Renault Sandero,A+,76.0,"5' 3""",Offence Against a Person,Latchford,47
102,103,female,American,Silas,Guerrero,3486 Venture Place,Westlock,Alberta,T0G 2L0,Canada,NellieEGuerrero@dayrep.com,780-349-1854,04-03-1979,43,News anchor,Plan Smart,2001 Volvo S80,B+,103.0,"5' 1""",Theft from Vehicle,South Vancouver,9
103,104,female,American,Kari,Ragland,2318 Brook St,Newcombville,Nova Scotia,B4V 2V8,Canada,MarieJRagland@rhyta.com,902-529-5739,08-03-1993,29,Layout artist,Rogers Peet,2015 Volvo V60 Cross Country,A+,71.0,"5' 6""",Theft from Vehicle,Oakville,5
104,105,male,American,Cynthia,Culpepper,4247 Maria St,Burlington,Ontario,L7R 2G6,Canada,NickBCulpepper@dayrep.com,905-633-5339,10/23/1994,28,Masseuse,Great Clothes,2009 Mercedes-Benz CLK,B+,90.5,"5' 7""",Theft from Vehicle,West Point Grey,193
105,106,male,American,Jacquetta,Petersen,2592 Keith Road,North Vancouver,British Columbia,V5T 2C1,Canada,JeremyJPetersen@armyspy.com,604-998-0677,9/18/1986,36,Sketch artist,Sistemos,2006 Toyota Camry,O+,89.1,"6' 0""",Theft from Vehicle,South Vancouver,2198
106,107,female,American,James,Clinton,2410 Township Rd,Fort Mcmurray,Alberta,T9H 3E2,Canada,WilmaJClinton@dayrep.com,780-880-1660,6/23/1972,50,Affirmative action coordinator,Tianguis,2000 ZAZ Wagon,A+,91.6,"5' 7""",Mischief,Central,33
107,108,female,American,Guillermo,Ortiz,2724 Brant Ave,Debolt,Alberta,T1T 1T1,Canada,PatriceBOrtiz@cuvox.de,780-957-1385,3/14/1975,47,Nurse educator,Harold's,1995 Chevrolet Beretta,O+,105.6,"5' 9""",Theft from Vehicle,Central,845
108,109,male,American,Monica,Hedges,844 St. John Street,Jansen,Saskatchewan,S4P 3Y2,Canada,WilliamDHedges@einrot.com,306-364-2033,9/19/1979,43,Electronic equipment repairer,Music Boutique,2001 Kia Shuma,O+,71.9,"6' 0""",Break and Enter Residential/Other,Central,726
109,110,female,American,John,Haney,2455 Pearl Street,Streetsville,Ontario,L5M 1X2,Canada,FayeAHaney@cuvox.de,905-821-6177,9/16/1993,29,Diabetes management nurse,Avant Garde Appraisal Group,2006 GMC Yukon,A-,93.9,"5' 2""",Mischief,Mount Pleasant,787
110,111,male,American,Irene,Mathis,4187 St. John Street,Battleford,Saskatchewan,S4P 3Y2,Canada,AnthonyPMathis@dayrep.com,306-937-6859,10-04-1984,38,Mining and geological engineer,Bold Ideas,2012 Nissan Frontier,B-,80.2,"5' 11""",Theft from Vehicle,Latchford,98
111,112,male,American,Latanya,Craig,3239 90th Avenue,East Coulee,Alberta,T0J 1B0,Canada,ChrisSCraig@jourrapide.com,403-822-4599,5/15/1999,23,Personnel coordinator,Seamans Furniture,2004 Tata E,A+,82.3,"6' 0""",Theft from Vehicle,Grandview,229
112,113,male,American,Jennifer,Smith,1984 Reserve St,Bridgenorth,Ontario,K0L 1H0,Canada,BryanASmith@cuvox.de,705-292-0957,11/18/1989,33,Deckhand,Sports Unlimited,2014 Chrysler Town and Country,B+,112.9,"5' 8""",Theft from Vehicle,The West End,13
113,114,male,American,Randy,McDonald,2736 Boulevard Laflèche,Baie Comeau,Quebec,G5C 1L8,Canada,TrevorAMcDonald@jourrapide.com,418-298-5037,8/20/1995,27,Chief engineer,World of Fun,2004 Marcos TS,A+,106.0,"5' 9""",Theft from Vehicle,West Point Grey,8
114,115,female,American,Emanuel,Wicker,1252 Côte Joyeuse,St Malo,Quebec,H0H 0H0,Canada,KendraJWicker@jourrapide.com,819-658-6894,6/26/1984,38,Macromolecular chemist,Kragen Auto Parts,2008 Chevrolet Matiz,A+,94.0,"5' 3""",Mischief,West Point Grey,787
115,116,male,American,Ron,Barksdale,1629 Boulevard Cremazie,Quebec,Quebec,G1R 1B8,Canada,DarnellMBarksdale@gustr.com,418-646-4006,08-04-1978,44,Prosecutor,Omni Architectural Designs,1999 GMC EV1,A+,88.4,"6' 0""",Mischief,Latchford,2198
116,117,female,American,Tom,Edwards,2440 Yonge St,Toronto,Ontario,M4P 1E4,Canada,ImogeneJEdwards@dayrep.com,416-271-8484,03-01-1982,40,Neurosonographer,Susie's Casuals,2004 Caterham 7,AB+,52.0,"5' 3""",Theft from Vehicle,Oakville,33
117,118,male,American,Oscar,Fernandez,611 rue Levy,Montreal,Quebec,H3C 5K4,Canada,GregoryFFernandez@cuvox.de,514-718-0537,09-05-1997,25,Financial manager,Omni Superstore,2004 Porsche 911,AB+,64.9,"5' 10""",Break and Enter Commercial,Grandview,100
118,119,male,American,Ronnie,Douglas,1458 Bayfield St,Richmond Hill,Ontario,L4C 3Y2,Canada,KenSDouglas@rhyta.com,905-787-1482,6/16/1990,32,Control room operator,Harold's,2000 BMW 520,A+,71.1,"6' 0""",Theft from Vehicle,Oakville,7
119,120,female,American,William,Taylor,3589 Joseph St,Kincardine,Ontario,N2Z 1Z9,Canada,AngelineNTaylor@dayrep.com,519-396-2961,11/19/1986,36,Plant scientist,Creative Wealth,2002 Suzuki Grand Vitara,B+,103.1,"5' 7""",Theft from Vehicle,South Granville,229
120,121,male,American,Kenneth,Wortman,1562 Blind Bay Road,Black Pool,British Columbia,V0E 1N0,Canada,PaulBWortman@dayrep.com,250-587-4762,04-04-2001,21,"Treatment, storage, and disposal (TSD) worker",Rogersound Labs,2000 TVR Speed 12,A+,96.4,"5' 8""",Theft from Vehicle,Kitsilano,726
121,122,female,American,Wallace,Weems,2076 Burdett Avenue,Victoria,British Columbia,V8B 1E2,Canada,KristinMWeems@dayrep.com,250-483-2286,09-10-2002,20,Criminal lawyer,Mostow Co.,2000 BMW 750,O+,67.7,"5' 2""",Theft from Vehicle,Latchford,2198
122,123,male,American,Christine,Kaufmann,485 Fallon Drive,Thamesville,Ontario,N0P 2K0,Canada,ClaudeJKaufmann@armyspy.com,519-692-6800,10-05-1987,35,Digital electronic prepress worker,Road Runner Lawn Services,2001 Renault Laguna,A+,103.4,"5' 9""",Offence Against a Person,Kitsilano,35
123,124,male,American,John,Engen,4325 Tycos Dr,Toronto,Ontario,M5T 1T4,Canada,RobertMEngen@rhyta.com,416-595-1524,01-02-1979,44,Construction and maintenance painter,Realty Depot,2010 Chevrolet Cobalt,B+,74.3,"5' 10""",Theft from Vehicle,The West End,33
124,125,female,American,Olivia,Jennings,2745 Burdett Avenue,Victoria,British Columbia,V8Z 2J8,Canada,SarahHJennings@cuvox.de,250-479-0235,12/15/2002,20,Assistant principal,Thom McAn Store,1996 Opel Vita,A+,53.2,"5' 9""",Offence Against a Person,South Vancouver,2198
125,126,male,American,Charles,Farris,1084 Reserve St,Picton,Ontario,K0K 2T0,Canada,RafaelMFarris@rhyta.com,613-476-3330,1/19/1975,48,Professor,Earthworks Yard Maintenance,2007 Mercedes-Benz SLK,O+,115.6,"5' 10""",Mischief,Latchford,726
126,127,female,American,Juanita,Twyman,1879 Tanner Street,Vancouver,British Columbia,V5R 2T4,Canada,DebraJTwyman@superrito.com,604-435-5029,10-07-2001,21,Mathematical statistician,Pro-Care Garden Maintenance,2015 Nissan GT-R,AB+,78.9,"5' 5""",Break and Enter Residential/Other,Latchford,13
127,128,male,American,Andrew,Rank,3654 47th Avenue,Carcross,Yukon,Y0B 1B0,Canada,CharlesERank@einrot.com,867-390-8153,3/24/1986,36,Certified registered nurse anesthetist,Strategic Profit,1997 Toyota Mega Cruiser,O+,63.0,"6' 2""",Break and Enter Residential/Other,Oakville,8
128,129,male,American,Francis,Brewington,580 Sheppard Ave,Toronto,Ontario,M1S 1T4,Canada,ChristopherMBrewington@teleworm.us,416-295-5640,1/31/2000,23,Marshal,Practi-Plan,2009 Porsche Boxster,A+,79.5,"6' 1""",Offence Against a Person,Grandview,229
129,130,male,American,John,Jones,720 Mesa Vista Drive,Lytton,British Columbia,V0K 1Z0,Canada,RobertKJones@superrito.com,250-455-2410,8/19/1995,27,Employment service specialist,Franklin Simon,2006 Cadillac DTS,O+,105.3,"5' 9""",Theft from Vehicle,Oakville,8
130,131,male,American,Emily,Baer,2072 40th Street,Calgary,Alberta,T2N 2A7,Canada,MarvinRBaer@einrot.com,403-283-7357,06-11-1981,41,Power dispatcher,The Flying Bear,2009 Opel Agila,B+,116.4,"5' 10""",Theft from Vehicle,Mount Pleasant,9
131,132,male,American,William,Lowe,3736 Pape Ave,Toronto,Ontario,M4E 2V5,Canada,BobbyBLowe@teleworm.us,416-699-5044,2/21/1976,47,Foot specialist,A+ Electronics,2003 Citroen C5,A+,74.4,"5' 11""",Theft from Vehicle,Mount Pleasant,10
132,133,male,American,Carol,Huber,124 rue Garneau,Quebec,Quebec,G1V 3V5,Canada,LeonardJHuber@fleckens.hu,418-576-3170,8/13/1980,42,Medical and health services manager,Purity,2004 Subaru Impreza,A+,76.7,"5' 10""",Theft from Vehicle,South Granville,10
133,134,male,American,Mark,Pratt,3474 Manitoba Street,Huntsville,Ontario,P1H 1P2,Canada,SergioVPratt@armyspy.com,705-380-5096,2/19/1978,45,Multiple machine tool tender,Affinity Investment Group,1998 Oldsmobile Achieva,A+,113.2,"5' 10""",Theft from Vehicle,South Granville,7
134,135,female,American,Anthony,Blaker,829 James Street,Aldergrove,British Columbia,V5W 3P7,Canada,RachelCBlaker@superrito.com,604-607-4612,8/21/1987,35,Computer applications software engineer,Simply Save,2005 Daewoo Lanos,O+,51.7,"5' 7""",Break and Enter Commercial,Central,100
135,136,male,American,Jennifer,Guillen,2565 Tycos Dr,Toronto,Ontario,M5T 1T4,Canada,MichaelKGuillen@teleworm.us,416-220-3615,3/24/1978,44,Assistant editor,Netstars Matrix Design,2010 Volkswagen Jetta,O+,109.6,"6' 0""",Theft from Vehicle,West Point Grey,53
136,137,female,American,Clara,Jones,1860 Burdett Avenue,Victoria,British Columbia,V8N 2A4,Canada,DonnaHJones@dayrep.com,250-853-0128,2/27/1983,39,Web developer,The Royal Canadian Pancake Houses,2009 Alfa Romeo Spider,B+,80.9,"5' 2""",Break and Enter Residential/Other,West Point Grey,10
137,138,female,American,Billy,Beaufort,2744 Galt Street,Quebec,Quebec,G2C 1S4,Canada,MarthaRBeaufort@rhyta.com,418-574-8422,5/14/1982,40,Gas plant operator,Cal Stereo,2001 Hyundai XG 300,O+,69.8,"5' 1""",Theft from Vehicle,South Vancouver,53
138,139,female,American,Mark,Phillips,2346 Water Street,Kitchener,Ontario,N2H 5A5,Canada,PhyllisTPhillips@einrot.com,519-783-6743,5/28/2003,19,Bus dispatcher,Wilson's Jewelers,2006 BMW 116,O+,56.2,"5' 2""",Offence Against a Person,South Vancouver,10
139,140,male,American,Gene,Darden,4176 Roger Street,Duncan,British Columbia,V9L 1E5,Canada,LazaroCDarden@fleckens.hu,250-732-9015,08-01-1982,40,Textile presser,Reliable Investments,2000 Peugeot 806,B+,91.1,"6' 1""",Offence Against a Person,Kitsilano,41
140,141,male,American,Keith,Dix,848 Smith Avenue,Hamilton,Ontario,L9H 1E6,Canada,EloyBDix@superrito.com,905-531-3641,4/17/1976,46,Pile driver operator,Matrix Interior Design,1997 Seat Cordoba,A-,91.9,"5' 10""",Break and Enter Commercial,Mount Pleasant,8
141,142,female,American,John,Reagan,1598 Weir Crescent,Toronto,Ontario,M1E 3T8,Canada,ConnieRReagan@jourrapide.com,905-509-4616,06-02-2001,21,Retail salesperson,Borders Books,2004 Cadillac DeVille,A+,85.1,"5' 1""",Theft from Vehicle,Latchford,193
142,143,male,American,John,Brown,4226 Hastings Street,Vancouver,British Columbia,V6C 1B4,Canada,MitchellKBrown@cuvox.de,604-771-5956,12-12-1991,31,"Extruding, forming, pressing, and compacting machine tender",Konsili,1995 Mitsubishi Pajero,O-,84.2,"5' 8""",Mischief,Grandview,787
143,144,female,American,Harry,Wood,4440 Rose Street,Regina,Saskatchewan,S4P 3Y2,Canada,MarionTWood@superrito.com,306-539-6465,3/23/1991,31,Telecommunications line installer,County Seat,1994 Toyota Starlet,O+,96.8,"5' 8""",Break and Enter Residential/Other,Oakville,53
144,145,female,American,Sheryl,Wong,544 Nelson Street,Pikangikum,Ontario,P0V 2L0,Canada,PaulaRWong@rhyta.com,807-773-7034,12/15/1997,25,Geropsychologist,Mars Music,2009 Citroen Berlingo,O+,77.9,"5' 5""",Theft from Vehicle,Latchford,35
145,146,male,American,William,Smith,3378 Yonge Street,Toronto,Ontario,M4W 1J7,Canada,JeffreyASmith@superrito.com,416-921-2328,11/24/1988,34,Nuclear technician,First Rate Choice,2012 Maybach 57,O+,77.7,"5' 9""",Offence Against a Person,The West End,33
146,147,female,American,Michael,Hedstrom,2682 Coldstream Avenue,Vernon,British Columbia,V1T 6N1,Canada,EthelAHedstrom@dayrep.com,250-308-5979,6/27/1984,38,Courier,EXPO Design Center,2010 Hyundai ix20,A+,79.0,"5' 3""",Theft from Vehicle,West Point Grey,98
147,148,female,American,Mildred,Page,291 Brand Road,Saskatoon,Saskatchewan,S7K 1W8,Canada,MonicaAPage@teleworm.us,306-978-8313,06-08-1979,43,Administrator,Complete Tech,1999 Mitsubishi Space Wagon,O+,61.7,"5' 3""",Theft from Vehicle,Central,193
148,149,male,American,Rhonda,Frederick,633 St Jean Baptiste St,Havre St Pierre,Quebec,G0G 1P0,Canada,RobertJFrederick@armyspy.com,418-538-6515,9/14/1993,29,Palliative care nurse,Finast,2005 Maserati MC12,O+,92.3,"5' 9""",Theft from Vehicle,Latchford,47
149,150,male,American,Robert,Carter,1273 chemin Hudson,Montreal,Quebec,H4J 1M9,Canada,MikeTCarter@gustr.com,514-808-7861,2/27/1988,34,Longshoremen,Simple Solutions,2008 Cadillac XLR,O+,93.8,"5' 8""",Theft from Vehicle,Central,9
150,151,female,American,John,Kelly,735 St. Paul Street,St Catharines,Ontario,L2S 3A1,Canada,ShirleyEKelly@armyspy.com,905-650-6170,02-08-1994,29,Neonatal nurse,Great Western,1994 Citroen XM,O+,85.1,"5' 8""",Break and Enter Residential/Other,West Point Grey,53
151,152,male,American,Tony,Reid,1789 Shaughnessy St,Port Coquitlam,British Columbia,V3C 4S7,Canada,MichaelAReid@einrot.com,604-942-1706,07-06-1997,25,Training coordinator,Young @ Heart,1998 Chrysler Neon,A+,73.5,"5' 8""",Break and Enter Residential/Other,South Granville,726
152,153,female,American,Pablo,Carr,4175 Brand Road,Saskatoon,Saskatchewan,S7K 1W8,Canada,TonyaSCarr@jourrapide.com,306-665-4219,01-03-1979,44,"Textile, apparel, and furnishings occupation",Twin Food Stores,2012 Buick Regal,A+,102.8,"5' 1""",Theft from Vehicle,South Vancouver,13
153,154,male,American,John,Welch,2986 Tolmie St,Vancouver,British Columbia,V6A 4E6,Canada,LuisMWelch@fleckens.hu,604-677-0130,4/29/1990,32,Nurse practitioner,Tower Records,2005 Mazda Tribute,B+,90.0,"5' 11""",Theft from Vehicle,Mount Pleasant,33
154,155,female,American,Augusta,Taylor,3040 Port Washington Road,Fort Chipewyan,Alberta,T0P 1B0,Canada,FaithDTaylor@armyspy.com,780-697-4100,10-03-1980,42,"Molding, coremaking, and casting machine setter",Isaly's,2011 Honda Jazz,O+,74.5,"5' 1""",Offence Against a Person,South Granville,2198
155,156,female,American,Leon,Morley,1378 rue Ontario Ouest,Montreal,Quebec,H2X 1Y8,Canada,ThomasBMorley@fleckens.hu,514-289-9088,4/27/1999,23,"Heating, air-conditioning, and refrigeration mechanic",Friendly Interior Design,1997 Volvo S70,O+,74.4,"5' 5""",Theft from Vehicle,West Point Grey,845
156,157,female,American,Nicole,Vo,963 avenue Royale,Quebec,Quebec,G1R 5B2,Canada,ChantelWVo@jourrapide.com,418-271-4522,11/30/1981,41,Cutting machine operator,Waccamaw's Homeplace,2010 Volvo XC60,A+,82.0,"5' 7""",Theft from Vehicle,The West End,9
157,158,female,American,Philip,Flynn,3424 St. John Street,Dinsmore,Saskatchewan,S4P 3Y2,Canada,KathleenVFlynn@armyspy.com,306-846-9614,7/31/1980,42,Housekeeping cleaner,LaBelle's,2008 Nissan Sentra,O+,67.5,"5' 5""",Theft from Vehicle,South Granville,10
158,159,female,American,Clara,Wilson,929 Kinchant St,Penticton,British Columbia,V2A 2V6,Canada,IreneJWilson@teleworm.us,250-486-2608,01-01-2001,22,CART provider,KB Toys,1998 Cadillac DeVille,O+,58.9,"5' 6""",Mischief,Mount Pleasant,35
159,160,male,American,Vickie,Brooks,1364 Roger Street,Nanaimo,British Columbia,V9T 5H3,Canada,DarrylNBrooks@jourrapide.com,250-618-3898,03-05-1985,37,Cooling and freezing equipment operator,Honest Air Group,1995 Land Rover Discovery,O-,104.4,"6' 2""",Mischief,Grandview,193
160,161,female,American,Patrick,Witherspoon,1631 rue de la Gauchetière,Montreal,Quebec,H3B 2M3,Canada,ToshikoAWitherspoon@cuvox.de,514-861-9672,5/29/1992,30,Marine,The Royal Canadian Pancake Houses,2003 Jeep Grand Cherokee,B+,89.3,"5' 7""",Theft from Vehicle,Grandview,35
161,162,male,American,Jennifer,Welch,1281 MacLaren Street,Ottawa,Ontario,K1P 5M7,Canada,MikeAWelch@armyspy.com,613-580-8910,12-06-1998,24,Geologist,Friendly Interior Design,2010 Nissan Murano,O+,69.8,"6' 0""",Theft from Vehicle,Central,2198
162,163,male,American,Steve,Cotto,3334 Fallon Drive,Lucan,Ontario,N0M 2J0,Canada,JosephMCotto@fleckens.hu,519-227-9614,04-02-1973,49,Gaming manager,Mr. AG's,1998 Proton Perdana,O+,100.5,"5' 8""",Theft from Vehicle,South Granville,845
163,164,male,American,John,Pennington,829 Yonge Street,Toronto,Ontario,M4W 1J7,Canada,AngeloRPennington@cuvox.de,416-268-4573,8/26/1981,41,Inhalation therapist,Intelacard,2004 Chevrolet Astro,B+,110.0,"6' 0""",Theft from Vehicle,South Vancouver,47
164,165,male,American,Gregory,Haggins,2486 Ste. Catherine Ouest,Montreal,Quebec,H2A 2Z3,Canada,JamesEHaggins@superrito.com,514-743-4711,10/21/2001,21,Costume designer,Omni Tech,2000 Ford Excursion,B+,70.4,"5' 7""",Break and Enter Residential/Other,Oakville,787
165,166,male,American,Heather,Nees,2054 rue des Églises Est,Hudson,Quebec,J0P 1H0,Canada,JamesCNees@teleworm.us,450-458-9794,05-03-1984,38,Mail machine operator,Monk Home Loans,1998 Volvo C70,B+,88.4,"6' 0""",Theft from Vehicle,Mount Pleasant,35
166,167,male,American,Dagmar,Oakley,113 Port Washington Road,Canmore,Alberta,T0L 0M0,Canada,DavidCOakley@cuvox.de,403-679-5193,02-01-1976,47,Head hunter,Larry's Markets,2012 Mazda 3,A+,101.6,"6' 1""",Mischief,South Vancouver,8
167,168,male,American,Robert,Carrol,2551 St Jean Baptiste St,Cap Chat,Quebec,G0J 1E0,Canada,EricCCarrol@superrito.com,418-786-1593,5/18/1984,38,Assistant editor,National Auto Parts,2008 Ford Bantam,A+,104.9,"6' 0""",Mischief,Kitsilano,7
168,169,female,American,Ralph,Manley,753 Glen Long Avenue,Toronto,Ontario,M6B 1J8,Canada,BettyJManley@einrot.com,416-784-1317,7/25/1989,33,Entomologist,Yesterday's Records,1992 Saab 900,B+,62.7,"5' 4""",Theft from Vehicle,Kitsilano,9
169,170,female,American,Valorie,Ford,4053 Port Washington Road,Bow Island,Alberta,T0K 0G0,Canada,DianeFFord@fleckens.hu,403-545-1367,9/13/1983,39,Glass installer,La Petite Boulangerie,1998 Renault Espider,B+,88.4,"5' 2""",Theft from Vehicle,South Vancouver,47
170,171,male,American,Evelyn,Holmes,1679 11th Ave,Calgary,Alberta,T2P 1M6,Canada,DonaldEHolmes@armyspy.com,403-571-1255,1/29/1982,41,Medical doctor,Auto Works,1994 Buick Riviera,A+,85.6,"5' 8""",Theft from Vehicle,Grandview,845
171,172,male,American,Alan,Morgan,1325 St. John Street,Arcola,Saskatchewan,S4P 3Y2,Canada,RobertHMorgan@rhyta.com,306-455-7913,08-08-1988,34,Restaurant chef,Gas Depot,2004 BMW M3,A+,112.5,"5' 11""",Break and Enter Residential/Other,West Point Grey,35
172,173,male,American,Damien,Dixon,3257 90th Avenue,Craigmyle,Alberta,T0J 0T0,Canada,DrewJDixon@superrito.com,403-665-8337,09-08-1986,36,Medical coder,The Warner Brothers Store,1995 Daihatsu Applause,B+,80.0,"5' 7""",Theft from Vehicle,South Vancouver,193
173,174,female,American,Marc,Jose,1833 Old Spallumcheen Rd,Keremeos,British Columbia,V0X 1N0,Canada,FlorineJJose@cuvox.de,250-499-3690,12/15/1982,40,Bill and account collector,Madcats Music & Books,1992 Opel Vectra,AB+,63.2,"5' 6""",Theft from Vehicle,Latchford,645
174,175,male,American,Aron,Smith,1194 Brew Creek Rd,Port Alice,British Columbia,V0N 2N0,Canada,JoshuaTSmith@jourrapide.com,250-284-6670,05-10-1973,49,Technical communications specialist,Advansed Teksyztems,2002 Nissan Laurel,A+,74.2,"5' 8""",Mischief,Grandview,9
175,176,male,American,Richard,Olsen,3868 Blind Bay Road,Mica Creek,British Columbia,V0E 2L0,Canada,DanielMOlsen@dayrep.com,250-834-2110,5/27/1986,36,Land surveyor,Food Fair,2006 Mercedes-Benz SL,B+,108.5,"5' 6""",Offence Against a Person,Kitsilano,5
176,177,female,American,Elizabeth,Thurston,3702 Tycos Dr,Toronto,Ontario,M5T 1T4,Canada,EileenMThurston@fleckens.hu,416-585-4373,05-02-1981,41,Welding worker,Magna Wealth,2014 Subaru Tribeca,O+,62.4,"5' 9""",Theft from Vehicle,Central,33
177,178,female,American,Mario,Childers,732 Leduc Street,L'orignal,Ontario,K0B 1K0,Canada,RosemarieAChilders@teleworm.us,613-675-8359,9/17/1980,42,Public address system announcer,Kent's,2003 Maserati Spyder,O+,53.2,"5' 5""",Theft from Vehicle,Oakville,8
178,179,female,American,Matthew,Rushing,3374 Robson St,Vancouver,British Columbia,V6B 3K9,Canada,MargaretCRushing@gustr.com,604-645-0524,12-09-1979,43,Craft artist,Kleinhans,2004 Acura RSX,B+,83.8,"5' 5""",Theft from Vehicle,Grandview,33
179,180,male,American,John,Ahern,2239 Churchill Plaza,Sault Ste Marie,Ontario,P6A 1Z2,Canada,JuanAAhern@rhyta.com,705-541-9409,3/15/1979,43,Worker compensation coordinator,Dubrow's Cafeteria,1997 Citroen Rally Raid,A-,89.0,"6' 1""",Mischief,West Point Grey,47
180,181,male,American,Roosevelt,Joyner,3922 40th Street,Calgary,Alberta,T2T 2Y6,Canada,JonathanTJoyner@armyspy.com,403-243-2643,09-11-2002,20,Organizational development consultant,Platinum Interior Design,2014 Jaguar XJ,A+,63.9,"5' 5""",Mischief,South Vancouver,10
